"Jahr";"barlabel.gesamt"
"2002";174,29
"2003";170,52
"2004";167,2
"2005";164,23
"2006";161,55
"2007";159,1
"2008";156,82
"2009";154,67
"2010";152,63
"2011";150,69
"2012";148,82
"2013";147,05
"2014";145,39
"2015";143,86
"2016";142,5
"2017";141,38
"2018";140,54
"2019";140,06
"2020";140,03
