"Jahr";"barlabel.gesamt"
"2002";150,79
"2003";147,93
"2004";144,81
"2005";141,59
"2006";138,4
"2007";135,37
"2008";132,59
"2009";130,13
"2010";128,06
"2011";126,41
"2012";125,19
"2013";124,39
"2014";123,99
"2015";123,93
"2016";124,14
"2017";124,53
"2018";124,99
"2019";125,38
"2020";125,55
